intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
23980|A21-S055|4T4R|4978433|/4T4R Modernization La Quiaca A21-S055 |OA|Huawei|OA|OA Completado|2021-07-14 17:13:10|2021-07-07 17:40:16|2021-07-07 17:41:27|2021-07-07 17:41:57|2021-07-14 17:13:10|4978433|CLOSE|2021-06-28 08:00:00|2021-07-09 18:00:00|2021-06-28 08:35:00|2021-07-14 17:36:00|True
23986|A21-S380|4T4R||/Resintonía Cluster Gran Salta |OA|Huawei|OA|OA Completado|2021-10-05 09:35:13|2021-06-14 08:52:11|2021-10-05 09:33:27|2021-10-05 09:34:27|2021-10-05 09:35:13|5206681|CLOSE|2021-07-15 22:00:00|2021-07-16 06:00:00|2021-07-15 22:36:00|2021-07-26 10:37:00|False
23986|A21-S380|4T4R||/ACTIVACION LTE850/1900 MEDI - CLUSTER GRAN SALTA |OA|Huawei|OA|OA Completado|2021-10-05 09:35:13|2021-06-14 08:52:11|2021-10-05 09:33:27|2021-10-05 09:34:27|2021-10-05 09:35:13|5321939|CLOSE|2021-07-23 09:00:00|2021-07-23 20:00:00|2021-07-23 16:37:00|2021-07-23 18:36:00|False
23984|A21-S331|4T4R|5078573|/MEDI_A21-S331_4T4R_Modernization A21-S331 La Quiaca 2 (2da fase directo) |OA|Huawei|OA|OA Completado|2021-07-22 17:46:34|2021-07-14 10:33:20|2021-07-14 10:34:49|2021-07-22 17:46:04|2021-07-22 17:46:34|5078573|CLOSE|2021-07-02 18:00:00|2021-07-16 18:00:00|2021-07-02 18:05:00|2021-07-22 18:06:00|True
23996|A23-S090|4T4R||/Cambios ACP Oran Step2 |OA|Huawei|OA|OA Completado|2021-05-14 19:48:47|2021-05-12 15:31:35|2021-05-12 15:33:04|2021-05-12 15:33:53|2021-05-14 19:48:47|4142239|CLOSE|2021-04-28 22:00:00|2021-04-29 02:00:00|2021-04-28 22:22:00|2021-04-29 00:22:00|False
23996|A23-S090|4T4R||/Modernization 4T4R Oran 13 A23-S090 |OA|Huawei|OA|OA Completado|2021-05-14 19:48:47|2021-05-12 15:31:35|2021-05-12 15:33:04|2021-05-12 15:33:53|2021-05-14 19:48:47|4304873|CLOSE|2021-05-10 08:00:00|2021-05-21 18:00:00|2021-05-10 08:22:00|2021-06-03 18:12:00|False
23997|A23-S103|4T4R||/4T4R puro PO2021 Cap Restringida  A23-S103 AMTECO |OA|Huawei|OA|OA Completado|2021-05-18 18:01:16|2021-05-14 19:52:35|2021-05-14 19:55:56|2021-05-14 19:57:03|2021-05-18 18:01:16|4172043|CLOSE|2021-05-03 08:00:00|2021-05-14 20:00:00|2021-05-03 08:22:00|2021-06-03 18:10:00|False
23998|A23-S118|4T4R||/Modernization 4T4R Oran 15 A23-S118 |OA|Huawei|OA|OA Completado|2021-05-21 13:08:28|2021-05-18 10:02:43|2021-05-18 10:03:48|2021-05-21 13:07:51|2021-05-21 13:08:28|4304917|CLOSE|2021-05-10 08:00:00|2021-05-28 18:00:00|2021-05-10 08:22:00|2021-06-03 20:46:00|False
24037|A10-S099|4T4R|6345931|/A10-S099 Miraflores - Moderniz 4T4R puro PO2021 CCEtapa1 |OA|Huawei|OA|OA Completado|2021-10-22 16:28:15|2021-10-19 16:08:39|2021-10-19 16:11:32|2021-10-20 16:45:38|2021-10-22 16:28:15|6345931|CLOSE|2021-10-11 08:00:00|2021-10-24 20:00:00|2021-10-11 08:27:00|2021-10-20 19:43:00|True
24166|A17-S291|4T4R|5773739|/A17-S291	Concepcion Centro Ii	4T4R |OA|Nokia|OA|OA Completado|2021-09-20 08:22:19|2021-09-02 14:56:47|2021-09-02 14:58:02|2021-09-03 10:00:45|2021-09-20 08:22:19|5773739|CLOSE|2021-08-30 12:13:00|2021-09-01 19:00:00|2021-08-30 12:28:00|2021-09-02 18:00:00|True
